Movie_Name,Rating,Total_Numberof_Rating,Metascore,Runtime,Year,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,Horror,Mystery,Romance,Sci-Fi,Sport,Thriller,War
12 Mighty Orphans,6.9,9700,44,118,2021,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13 Minutes,4.7,6100,40,108,2021,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
14 Peaks: Nothing Is Impossible,7.7,32000,68,101,2021,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
18?,4.8,524,63,88,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18Â½,4.8,524,63,88,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7 Days,6.5,1500,72,86,2021,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
8-Bit Christmas,6.7,24000,66,97,2021,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
A Boy Called Christmas,6.7,30000,61,106,2021,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
A Castle for Christmas,5.6,16000,53,98,2021,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0
A Chiara,6.8,2500,75,121,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A Journal for Jordan,6,3200,42,131,2021,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
A Mouthful of Air,6.1,3200,52,105,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A Sexplanation,7.3,198,74,76,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A Week Away,5.8,5800,32,94,2021,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Adopting Audrey,5.5,396,49,92,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
After Yang,6.6,25000,78,96,2021,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Agnes,3.8,1800,65,93,2021,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Alone with You,4.8,742,36,83,2021,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
America: The Motion Picture,5.6,7800,38,98,2021,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1
American Traitor: The Trial of Axis Sally,5.7,3600,25,109,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
American Underdog,7.1,27000,53,112,2021,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
Annette,6.3,24000,67,141,2021,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Antlers,5.9,48000,57,99,2021,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Army of Thieves,6.4,95000,49,127,2021,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Army of the Dead,5.8,197000,57,148,2021,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1
Asking for It,3.7,1100,20,97,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Awake,4.9,28000,35,96,2021,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0
Back to the Outback,6.5,12000,58,95,2021,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
Bad Trip,6.5,28000,61,86,2021,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Barb and Star Go to Vista Del Mar,6.3,22000,64,107,2021,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Becoming Cousteau,7.1,1600,74,94,2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Being the Ricardos,6.5,46000,60,131,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Benediction,6.6,4200,81,137,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Bergman Island,6.6,11000,80,112,2021,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Best Sellers,6.2,7200,54,102,2021,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Billie Eilish: The World's a Little Blurry,7.7,9400,70,140,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bingo Hell,4.3,3000,55,85,2021,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Birds of Paradise,5.9,3200,57,113,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Black Friday,4.7,9400,52,84,2021,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
